timestamp,open,high,low,close,volume
1711944000000,171.19,171.25,169.475,170.03,46240500
1712030400000,169.08,169.34,168.2302,168.84,49297581
1712116800000,168.79,170.68,168.58,169.65,47691715
1712203200000,170.29,171.92,168.82,168.82,53682486
1712289600000,169.59,170.39,168.95,169.58,42104826
1712548800000,169.03,169.2,168.24,168.45,37425513
1712635200000,168.7,170.08,168.35,169.67,42451209
1712721600000,168.8,169.09,167.11,167.78,49691936
1712808000000,168.34,175.46,168.16,175.04,91053075
1712894400000,174.26,178.36,174.21,176.55,101282386
1713153600000,175.36,176.63,172.5,172.69,73498773
1713240000000,171.75,173.76,168.27,169.38,73665235
1713326400000,169.61,170.65,168,168,50351210
1713412800000,168.03,168.64,166.55,167.04,43103753
1713499200000,166.21,166.4,164.075,165,68149377
1713758400000,165.515,167.26,164.77,165.84,48071343
1713844800000,165.35,167.05,164.92,166.9,49537761
1713931200000,166.54,169.3,166.21,169.02,48251835
1714017600000,169.525,170.61,168.1511,169.89,50558329
1714104000000,169.88,171.34,169.18,169.3,44812854
1714363200000,173.37,176.03,173.1,173.5,68149919
1714449600000,173.33,174.99,170,170.33,65824776
1714536000000,169.58,172.705,169.11,169.3,49387185
1714622400000,172.51,173.415,170.89,173.03,94211515
1714708800000,186.645,187,182.66,183.38,163224109
1714968000000,182.354,184.2,180.42,181.71,78319667
1715054400000,183.45,184.9,181.32,182.4,77298571
1715140800000,182.85,183.07,181.45,182.74,45057087
1715227200000,182.56,184.66,182.11,184.57,48948972
1715313600000,184.9,185.09,182.13,183.05,50745096
1715572800000,185.435,187.1,184.62,186.28,71969409
1715659200000,187.51,188.3,186.29,187.43,52393619
1715745600000,187.91,190.65,187.37,189.72,70381988
1715832000000,190.47,191.095,189.6601,189.84,52845230
1715918400000,189.51,190.81,189.18,189.87,41282925
1716177600000,189.325,191.9199,189.01,191.04,44361275
1716264000000,191.09,192.73,190.9201,192.35,42309401
1716350400000,192.265,192.8231,190.27,190.9,34648547
1716436800000,190.98,191,186.625,186.88,51005924
1716523200000,188.82,190.58,188.0404,189.98,36326975
1716868800000,191.51,193,189.1,189.99,52230051
1716955200000,189.61,192.247,189.51,190.29,53068016
1717041600000,190.76,192.18,190.63,191.29,49947941
1717128000000,191.44,192.57,189.91,192.25,75158277
1717387200000,192.9,194.99,192.52,194.03,50078439
1717473600000,194.635,195.32,193.0342,194.35,47471445
1717560000000,195.4,196.9,194.87,195.87,54156785
1717646400000,195.685,196.5,194.17,194.48,41162753
1717732800000,194.65,196.94,194.14,196.89,53085712
1717992000000,196.9,197.3,192.15,193.12,97262077
1718078400000,193.65,207.16,193.63,207.15,172116296
1718164800000,207.37,220.2,206.9,213.07,198109293
1718251200000,214.74,216.75,211.6,214.24,97750229
1718337600000,213.85,215.17,211.3,212.49,70108898
1718596800000,213.37,218.95,212.72,216.67,93689100
1718683200000,217.59,218.63,213,214.29,79943254
1718856000000,213.93,214.24,208.85,209.68,86095783
1718942400000,210.39,211.89,207.11,207.49,246421353
1719201600000,207.72,212.7,206.59,208.14,80721906
1719288000000,209.15,211.38,208.61,209.07,56280868
1719374400000,211.5,214.86,210.64,213.25,66213186
1719460800000,214.69,215.7395,212.35,214.1,49772707
1719547200000,215.77,216.07,210.3,210.62,82538718
1719806400000,212.09,217.51,211.92,216.75,60402929
1719892800000,216.15,220.38,215.1,220.27,58046178
1719979200000,220,221.55,219.03,221.55,37269801
1720152000000,221.65,226.45,221.65,226.34,59517108
1720411200000,227.09,227.85,223.25,227.82,59085861
1720497600000,227.93,229.4,226.3721,228.68,48013382
1720584000000,229.3,233.08,229.25,232.98,62627687
1720670400000,231.39,232.39,225.77,227.57,64456867
1720756800000,228.92,232.64,228.68,230.54,53046527
1721016000000,236.48,237.23,233.09,234.4,62623152
1721102400000,235,236.27,232.33,234.82,41184278
1721188800000,229.45,231.4599,226.64,228.88,57345884
1721275200000,230.28,230.44,222.27,224.18,66034585
1721361600000,224.82,226.8,223.275,224.31,49151453
1721620800000,227.01,227.78,223.09,223.96,48201835
1721707200000,224.365,226.94,222.68,225.01,39960260
1721793600000,224,224.8,217.13,218.54,61777576
1721880000000,218.93,220.85,214.62,217.49,51391199
1721966400000,218.7,219.49,216.01,217.96,41599345
1722225600000,216.96,219.3,215.75,218.24,36284528
1722312000000,219.19,220.325,216.12,218.8,41493840
